timestamp,battery_percent,power_consumption_watts,internal_temp_c,panel_temp_c,link_signal_quality_db,link_latency_ms,packet_loss_percent,cpu_usage_percent
2026-08-06T12:00:00,89.93,40,25.04,20,-55,50,0.5,29.86
2026-08-06T12:01:00,89.87,40,24.85,20,-55,50,0.5,28.99
2026-08-06T12:02:00,89.79,40,24.76,20,-55,50,0.5,28.32
2026-08-06T12:03:00,89.72,40,24.72,20,-55,50,0.5,27.87
2026-08-06T12:04:00,89.66,40,24.86,20,-55,50,0.5,27.29
2026-08-06T12:05:00,89.59,40,24.66,20,-55,50,0.5,27.19
2026-08-06T12:06:00,89.51,40,24.58,20,-55,50,0.5,27.05
2026-08-06T12:07:00,89.44,40,24.48,20,-55,50,0.5,26.66
2026-08-06T12:08:00,89.38,40,24.56,20,-55,50,0.5,26.9
2026-08-06T12:09:00,89.32,40,24.47,20,-55,50,0.5,26.11
2026-08-06T12:10:00,89.27,40,24.55,20,-55,50,0.5,26.76
2026-08-06T12:11:00,89.21,40,24.59,20,-55,50,0.5,27.05
2026-08-06T12:12:00,89.15,40,24.48,20,-55,50,0.5,26.33
2026-08-06T12:13:00,89.06,40,24.29,20,-55,50,0.5,26.1
2026-08-06T12:14:00,88.97,40,24.22,20,-55,50,0.5,26.5
2026-08-06T12:15:00,88.91,40,24.35,20,-55,50,0.5,26.94
2026-08-06T12:16:00,87.94,41.87,24.89,20,-55,50,0.5,30.76
2026-08-06T12:17:00,86.99,43.78,25.4,20,-55,50,0.5,32.77
2026-08-06T12:18:00,86.13,45.51,26.01,20,-55,50,0.5,35.01
2026-08-06T12:19:00,85.22,46.73,26.65,20,-55,50,0.5,38.71
2026-08-06T12:20:00,84.4,47.79,27.6,20,-55,50,0.5,42.12
2026-08-06T12:21:00,83.83,49.24,28.51,20,-55,50,0.5,45.82
2026-08-06T12:22:00,83.12,51.1,29.41,20,-55,50,0.5,49.1
2026-08-06T12:23:00,82.46,52.46,30.1,20,-55,50,0.5,51.39
2026-08-06T12:24:00,81.66,54.19,30.61,20,-55,50,0.5,54.8
2026-08-06T12:25:00,80.79,55.31,31.53,20,-55,50,0.5,57.23
2026-08-06T12:26:00,80.51,55.31,31.53,20,-56.52,56.87,0.95,57.23
2026-08-06T12:27:00,80.12,55.31,31.53,20,-57.56,65.79,1.35,57.23
2026-08-06T12:28:00,79.81,55.31,31.53,20,-59.24,71.34,1.74,57.23
2026-08-06T12:29:00,79.48,55.31,31.53,20,-61.19,76.66,2.23,57.23
2026-08-06T12:30:00,79.26,55.31,31.53,20,-62.72,83.73,2.57,57.23
2026-08-06T12:31:00,78.88,55.31,31.53,20,-63.92,90.26,2.9,57.23
2026-08-06T12:32:00,78.66,55.31,31.53,20,-65.09,96.55,3.35,57.23
2026-08-06T12:33:00,78.33,55.31,31.53,20,-66.61,102.29,3.62,57.23
2026-08-06T12:34:00,78.12,55.31,31.53,20,-67.91,111.37,3.98,57.23
2026-08-06T12:35:00,77.85,55.31,31.53,20,-69.82,117.46,4.31,57.23
2026-08-06T12:36:00,77.06,55.31,32.32,20,-70.68,120.82,4.58,58.31
2026-08-06T12:37:00,76.3,55.31,32.93,20,-71.51,125.57,4.92,59.62
2026-08-06T12:38:00,75.57,55.31,33.51,20,-72.33,131.18,5.14,61.4
2026-08-06T12:39:00,74.79,55.31,34.14,20,-73.04,134.65,5.43,63.13
2026-08-06T12:40:00,74.08,55.31,34.89,20,-73.64,137.96,5.72,65.13
2026-08-06T12:41:00,73.49,55.31,35.4,20,-74.16,141.14,6.04,66.85
2026-08-06T12:42:00,72.98,55.31,35.99,20,-75.1,145.15,6.37,68.45
2026-08-06T12:43:00,72.25,55.31,36.85,20,-75.97,150.27,6.58,69.48
2026-08-06T12:44:00,71.6,55.31,37.77,20,-76.78,153.68,6.91,71.16
2026-08-06T12:45:00,70.85,55.31,38.61,20,-77.62,157.15,7.15,72.17
2026-08-06T12:46:00,70.77,55.31,37.82,20,-76.28,151.27,6.66,69.89
2026-08-06T12:47:00,70.71,55.31,37.02,20,-74.5,145.86,6.36,66.92
2026-08-06T12:48:00,70.63,55.31,36.41,20,-72.92,139.95,6.02,64.77
2026-08-06T12:49:00,70.56,55.31,35.49,20,-71.24,132.31,5.75,62.44
2026-08-06T12:50:00,70.49,55.31,34.72,20,-69.56,123.15,5.45,58.63
2026-08-06T12:51:00,70.43,55.31,34.15,20,-67.91,118.03,5.1,56.05
2026-08-06T12:52:00,70.37,55.31,33.34,20,-66.28,108.35,4.6,52.64
2026-08-06T12:53:00,70.31,55.31,32.65,20,-64.54,101.66,4.27,49.03
2026-08-06T12:54:00,70.25,55.31,32.06,20,-62.63,92.44,4.0,46.64
2026-08-06T12:55:00,70.15,55.31,31.39,20,-61.32,83.57,3.7,43.86
2026-08-06T12:56:00,70.07,55.31,30.53,20,-59.97,75.79,3.29,40.88
2026-08-06T12:57:00,69.98,55.31,29.81,20,-58.03,67.63,3.05,37.01
2026-08-06T12:58:00,69.89,55.31,29.03,20,-56.55,58.91,2.75,35.01
2026-08-06T12:59:00,69.83,55.31,28.14,20,-54.58,49.48,2.26,32.14
